Nº,Año plan,Mes num,Mes,Tema mensual,Semana del año,Semana plan,Día,Fecha,Formato,Pilar,Subtema,Objetivo,Nivel embudo,Tipo contenido,Gancho,Idea central,CTA,Estado,Notas
150,1,12,Diciembre,Cierre y estrategia,49,22,Miércoles,2026-12-02,Post,Mentalidad,Paciencia,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Paciencia aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
151,1,12,Diciembre,Cierre y estrategia,49,22,Jueves,2026-12-03,Reel,Storytelling,Decisión difícil,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Decisión difícil para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
152,1,12,Diciembre,Cierre y estrategia,49,22,Viernes,2026-12-04,Carrusel,IA,Email,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Email para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
153,1,12,Diciembre,Cierre y estrategia,49,22,Sábado,2026-12-05,Post,Marca personal,Behind the scenes,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Behind the scenes conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
154,1,12,Diciembre,Cierre y estrategia,49,22,Domingo,2026-12-06,Reel,Venta,Consultoría,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Consultoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
155,1,12,Diciembre,Cierre y estrategia,50,23,Lunes,2026-12-07,Reel,Marketing,Autoridad,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Autoridad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
156,1,12,Diciembre,Cierre y estrategia,50,23,Martes,2026-12-08,Carrusel,Fiscalidad,Planificación fiscal,Autoridad,Consideración,Educativo/Error común,Tener ingresos no significa estar bien gestionado,"Desglosar Planificación fiscal en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
157,1,12,Diciembre,Cierre y estrategia,50,23,Miércoles,2026-12-09,Post,Mentalidad,Disciplina,Conexión,Conexión,Reflexión/Hábito,Emprender sin disciplina sale caro,Reflexión práctica sobre Disciplina aplicada a empresarios que quieren crecer sin caos.,¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
158,1,12,Diciembre,Cierre y estrategia,50,23,Jueves,2026-12-10,Reel,Storytelling,Aprendizaje real,Conexión,Consideración,Caso real/Historia,He visto empresas buenas desaparecer por esto,"Contar una historia sobre Aprendizaje real para mostrar que visibilidad, números y criterio van juntos.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
159,1,12,Diciembre,Cierre y estrategia,50,23,Viernes,2026-12-11,Carrusel,IA,Prompts,Autoridad,Consideración,Tutorial/Herramienta,Así ahorro tiempo sin perder calidad,"Mostrar cómo aplicar Prompts para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
160,1,12,Diciembre,Cierre y estrategia,50,23,Sábado,2026-12-12,Post,Marca personal,Reflexión,Conexión,Afinidad,Personal/Observación,Detrás del negocio también hay una forma de mirar la vida,"Compartir una pieza humana sobre Reflexión conectándola con negocios, identidad y visión.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
161,1,12,Diciembre,Cierre y estrategia,50,23,Domingo,2026-12-13,Reel,Venta,Problema,Venta,Conversión,Objeción/CTA,Lo que te cuesta dinero no siempre se ve a simple vista,"Presentar Problema como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Hablemos,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
162,1,12,Diciembre,Cierre y estrategia,51,24,Lunes,2026-12-14,Reel,Marketing,Embudo,Viral,Descubrimiento,Opinión/Contracorriente,Muchos negocios confunden contenido con estrategia,"Explicar cómo Embudo impacta en la captación, la percepción de marca y las ventas de un negocio real.",Mándaselo a alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
163,1,12,Diciembre,Cierre y estrategia,51,24,Martes,2026-12-15,Carrusel,Fiscalidad,Gastos deducibles,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar Gastos deducibles en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
164,1,12,Diciembre,Cierre y estrategia,51,24,Miércoles,2026-12-16,Post,Mentalidad,Orden,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Orden aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
165,1,12,Diciembre,Cierre y estrategia,51,24,Jueves,2026-12-17,Reel,Storytelling,Momento de claridad,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Momento de claridad para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
166,1,12,Diciembre,Cierre y estrategia,51,24,Viernes,2026-12-18,Carrusel,IA,Productividad,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Productividad para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
167,1,12,Diciembre,Cierre y estrategia,51,24,Sábado,2026-12-19,Post,Marca personal,Visión,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Visión conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
168,1,12,Diciembre,Cierre y estrategia,51,24,Domingo,2026-12-20,Reel,Venta,Decisión,Venta,Conversión,Objeción/CTA,Seguir igual también tiene un precio,"Presentar Decisión como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Pide información,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
169,1,12,Diciembre,Cierre y estrategia,52,25,Lunes,2026-12-21,Reel,Marketing,Visibilidad,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Visibilidad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
170,1,12,Diciembre,Cierre y estrategia,52,25,Martes,2026-12-22,Carrusel,Fiscalidad,IRPF,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar IRPF en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
171,1,12,Diciembre,Cierre y estrategia,52,25,Miércoles,2026-12-23,Post,Mentalidad,Enfoque,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Enfoque aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
172,1,12,Diciembre,Cierre y estrategia,52,25,Jueves,2026-12-24,Reel,Storytelling,Error vivido,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Error vivido para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
173,1,12,Diciembre,Cierre y estrategia,52,25,Viernes,2026-12-25,Carrusel,IA,Organización,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Organización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
174,1,12,Diciembre,Cierre y estrategia,52,25,Sábado,2026-12-26,Post,Marca personal,Libros,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Libros conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
175,1,12,Diciembre,Cierre y estrategia,52,25,Domingo,2026-12-27,Reel,Venta,Urgencia,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Urgencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
176,1,12,Diciembre,Cierre y estrategia,53,26,Lunes,2026-12-28,Reel,Marketing,Oferta,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Oferta impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
177,1,12,Diciembre,Cierre y estrategia,53,26,Martes,2026-12-29,Carrusel,Fiscalidad,Obligaciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Obligaciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
178,1,12,Diciembre,Cierre y estrategia,53,26,Miércoles,2026-12-30,Post,Mentalidad,Responsabilidad,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Responsabilidad aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
179,1,12,Diciembre,Cierre y estrategia,53,26,Jueves,2026-12-31,Reel,Storytelling,Conversación real,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Conversación real para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
180,1,1,Enero,Planificación y visión,53,26,Viernes,2027-01-01,Carrusel,IA,Asistentes IA,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Asistentes IA para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
181,1,1,Enero,Planificación y visión,53,26,Sábado,2027-01-02,Post,Marca personal,Tu historia,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Tu historia conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
182,1,1,Enero,Planificación y visión,53,26,Domingo,2027-01-03,Reel,Venta,CTA,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar CTA como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
183,1,1,Enero,Planificación y visión,1,27,Lunes,2027-01-04,Reel,Marketing,Posicionamiento,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Posicionamiento impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
184,1,1,Enero,Planificación y visión,1,27,Martes,2027-01-05,Carrusel,Fiscalidad,Errores fiscales,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Errores fiscales en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
185,1,1,Enero,Planificación y visión,1,27,Miércoles,2027-01-06,Post,Mentalidad,Resiliencia,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Resiliencia aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
186,1,1,Enero,Planificación y visión,1,27,Jueves,2027-01-07,Reel,Storytelling,Cambio de visión,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Cambio de visión para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
187,1,1,Enero,Planificación y visión,1,27,Viernes,2027-01-08,Carrusel,IA,Ideas de contenido,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar Ideas de contenido para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
188,1,1,Enero,Planificación y visión,1,27,Sábado,2027-01-09,Post,Marca personal,Universo,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Universo conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
189,1,1,Enero,Planificación y visión,1,27,Domingo,2027-01-10,Reel,Venta,Mentoría,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Mentoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
190,1,1,Enero,Planificación y visión,2,28,Lunes,2027-01-11,Reel,Marketing,Conversión,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Conversión impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
191,1,1,Enero,Planificación y visión,2,28,Martes,2027-01-12,Carrusel,Fiscalidad,Inspecciones,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Inspecciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
192,1,1,Enero,Planificación y visión,2,28,Miércoles,2027-01-13,Post,Mentalidad,Límites,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Límites aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
193,1,1,Enero,Planificación y visión,2,28,Jueves,2027-01-14,Reel,Storytelling,Caso cliente,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Caso cliente para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
194,1,1,Enero,Planificación y visión,2,28,Viernes,2027-01-15,Carrusel,IA,Automatización,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Automatización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
195,1,1,Enero,Planificación y visión,2,28,Sábado,2027-01-16,Post,Marca personal,Rutina,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Rutina conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
196,1,1,Enero,Planificación y visión,2,28,Domingo,2027-01-17,Reel,Venta,Oferta,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Oferta como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
197,1,1,Enero,Planificación y visión,3,29,Lunes,2027-01-18,Reel,Marketing,Leads,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Leads impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
198,1,1,Enero,Planificación y visión,3,29,Martes,2027-01-19,Carrusel,Fiscalidad,Sociedades,Autoridad,Consideración,Educativo/Error común,Tener ingresos no significa estar bien gestionado,"Desglosar Sociedades en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
199,1,1,Enero,Planificación y visión,3,29,Miércoles,2027-01-20,Post,Mentalidad,Identidad,Conexión,Conexión,Reflexión/Hábito,Emprender sin disciplina sale caro,Reflexión práctica sobre Identidad aplicada a empresarios que quieren crecer sin caos.,¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
200,1,1,Enero,Planificación y visión,3,29,Jueves,2027-01-21,Reel,Storytelling,Lección de negocio,Conexión,Consideración,Caso real/Historia,He visto empresas buenas desaparecer por esto,"Contar una historia sobre Lección de negocio para mostrar que visibilidad, números y criterio van juntos.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
201,1,1,Enero,Planificación y visión,3,29,Viernes,2027-01-22,Carrusel,IA,Análisis,Autoridad,Consideración,Tutorial/Herramienta,Así ahorro tiempo sin perder calidad,"Mostrar cómo aplicar Análisis para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
202,1,1,Enero,Planificación y visión,3,29,Sábado,2027-01-23,Post,Marca personal,Lecciones personales,Conexión,Afinidad,Personal/Observación,Detrás del negocio también hay una forma de mirar la vida,"Compartir una pieza humana sobre Lecciones personales conectándola con negocios, identidad y visión.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
203,1,1,Enero,Planificación y visión,3,29,Domingo,2027-01-24,Reel,Venta,Precio,Venta,Conversión,Objeción/CTA,Lo que te cuesta dinero no siempre se ve a simple vista,"Presentar Precio como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Hablemos,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
204,1,1,Enero,Planificación y visión,4,30,Lunes,2027-01-25,Reel,Marketing,Diferenciación,Viral,Descubrimiento,Opinión/Contracorriente,Muchos negocios confunden contenido con estrategia,"Explicar cómo Diferenciación impacta en la captación, la percepción de marca y las ventas de un negocio real.",Mándaselo a alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
205,1,1,Enero,Planificación y visión,4,30,Martes,2027-01-26,Carrusel,Fiscalidad,IVA,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar IVA en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
206,1,1,Enero,Planificación y visión,4,30,Miércoles,2027-01-27,Post,Mentalidad,Hábitos,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Hábitos aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
207,1,1,Enero,Planificación y visión,4,30,Jueves,2027-01-28,Reel,Storytelling,Antes y después,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Antes y después para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
208,1,1,Enero,Planificación y visión,4,30,Viernes,2027-01-29,Carrusel,IA,Procesos,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Procesos para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
209,1,1,Enero,Planificación y visión,4,30,Sábado,2027-01-30,Post,Marca personal,Creencias,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Creencias conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
210,1,1,Enero,Planificación y visión,4,30,Domingo,2027-01-31,Reel,Venta,Consecuencia,Venta,Conversión,Objeción/CTA,Seguir igual también tiene un precio,"Presentar Consecuencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Pide información,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
211,1,2,Febrero,Ventas y conversión,5,31,Lunes,2027-02-01,Reel,Marketing,Instagram,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Instagram impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
212,1,2,Febrero,Ventas y conversión,5,31,Martes,2027-02-02,Carrusel,Fiscalidad,Facturación,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar Facturación en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
213,1,2,Febrero,Ventas y conversión,5,31,Miércoles,2027-02-03,Post,Mentalidad,Energía,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Energía aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
214,1,2,Febrero,Ventas y conversión,5,31,Jueves,2027-02-04,Reel,Storytelling,Historia breve,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Historia breve para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
215,1,2,Febrero,Ventas y conversión,5,31,Viernes,2027-02-05,Carrusel,IA,Sistemas,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Sistemas para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
216,1,2,Febrero,Ventas y conversión,5,31,Sábado,2027-02-06,Post,Marca personal,Autenticidad,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Autenticidad conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
217,1,2,Febrero,Ventas y conversión,5,31,Domingo,2027-02-07,Reel,Venta,Objeciones,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Objeciones como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
218,1,2,Febrero,Ventas y conversión,6,32,Lunes,2027-02-08,Reel,Marketing,Captación,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Captación impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
219,1,2,Febrero,Ventas y conversión,6,32,Martes,2027-02-09,Carrusel,Fiscalidad,Deducciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Deducciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
220,1,2,Febrero,Ventas y conversión,6,32,Miércoles,2027-02-10,Post,Mentalidad,Consistencia,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Consistencia aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
221,1,2,Febrero,Ventas y conversión,6,32,Jueves,2027-02-11,Reel,Storytelling,Observación empresarial,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Observación empresarial para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
222,1,2,Febrero,Ventas y conversión,6,32,Viernes,2027-02-12,Carrusel,IA,Investigación,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Investigación para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
223,1,2,Febrero,Ventas y conversión,6,32,Sábado,2027-02-13,Post,Marca personal,Naturaleza,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Naturaleza conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
224,1,2,Febrero,Ventas y conversión,6,32,Domingo,2027-02-14,Reel,Venta,Diferenciación,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar Diferenciación como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
225,1,2,Febrero,Ventas y conversión,7,33,Lunes,2027-02-15,Reel,Marketing,Mensaje,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Mensaje impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
